HouseID,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,house_value
69,-122.29,37.81,46,2801,644,1823,611,129200
70,-122.29,37.81,26,768,152,392,127,82500
71,-122.29,37.81,46,935,297,582,277,95200
72,-122.29,37.81,49,844,204,560,152,75000
73,-122.29,37.81,46,12,4,18,7,67500
74,-122.29,37.81,20,835,161,290,133,137500
75,-122.28,37.81,17,1237,462,762,439,177500
76,-122.28,37.81,36,2914,562,1236,509,102100
77,-122.28,37.81,19,1207,243,721,207,108300
78,-122.29,37.81,23,1745,374,1054,325,112500
79,-122.28,37.8,38,684,176,344,155,131300
80,-122.28,37.81,17,924,289,609,289,162500
81,-122.27,37.81,52,210,56,183,56,112500
82,-122.28,37.81,52,340,97,200,87,112500
83,-122.28,37.81,52,386,164,346,155,137500
84,-122.28,37.81,35,948,184,467,169,118800
85,-122.28,37.81,52,773,143,377,115,98200
86,-122.27,37.81,40,880,451,582,380,118800
87,-122.27,37.81,10,875,348,546,330,162500
88,-122.27,37.8,10,105,42,125,39,137500
89,-122.27,37.8,52,249,78,396,85,500001
90,-122.27,37.8,16,994,392,800,362,162500
91,-122.28,37.8,52,215,87,904,88,137500
92,-122.28,37.8,52,96,31,191,34,162500
93,-122.27,37.79,27,1055,347,718,302,187500
94,-122.27,37.8,39,1715,623,1327,467,179200
95,-122.26,37.8,36,5329,2477,3469,2323,130000
96,-122.26,37.82,31,4596,1331,2048,1180,183800
97,-122.26,37.81,29,335,107,202,91,125000
98,-122.26,37.82,22,3682,1270,2024,1250,170000
99,-122.26,37.82,37,3633,1085,1838,980,193100
100,-122.25,37.81,29,4656,1414,2304,1250,257800
101,-122.25,37.81,28,5806,1603,2563,1497,273400
102,-122.25,37.81,39,854,242,389,228,237500
103,-122.25,37.81,52,2155,701,895,613,350000
104,-122.26,37.81,34,5871,1914,2689,1789,335700
105,-122.24,37.82,52,1509,225,674,244,313400
106,-122.24,37.81,52,2026,482,709,456,268500
107,-122.25,37.81,52,1758,460,686,422,259400
108,-122.24,37.82,52,3481,751,1444,718,275700
109,-122.25,37.82,28,3337,855,1520,802,225000
110,-122.25,37.82,52,1424,289,550,253,262500
111,-122.25,37.82,32,3809,1098,1806,1022,218500
112,-122.25,37.82,26,3959,1196,1749,1217,255000
113,-122.25,37.83,52,2376,559,939,519,224100
114,-122.25,37.83,35,1613,428,675,422,243100
115,-122.25,37.83,52,1279,287,534,291,231600
116,-122.25,37.83,28,5022,1750,2558,1661,218500
117,-122.25,37.83,52,4190,1105,1786,1037,234100
118,-122.23,37.84,50,2515,399,970,373,327600
119,-122.23,37.84,47,3175,454,1098,485,347600
120,-122.24,37.83,41,2576,406,794,376,366100
121,-122.24,37.85,37,334,54,98,47,335000
122,-122.23,37.85,52,2800,411,1061,403,373600
123,-122.24,37.84,52,3529,574,1177,555,389500
124,-122.24,37.85,52,2612,365,901,367,391100
125,-122.22,37.85,28,5287,1048,2031,956,337300
126,-122.22,37.84,50,2935,473,1031,479,295200
127,-122.21,37.84,44,3424,597,1358,597,292300
128,-122.21,37.83,40,4991,674,1616,654,411500
129,-122.2,37.84,30,2211,346,844,343,311500
130,-122.21,37.84,34,3038,490,1140,496,325900
131,-122.19,37.84,18,1617,210,533,194,392600
132,-122.2,37.84,35,2865,460,1072,443,319300
133,-122.21,37.83,34,5065,788,1627,766,333300
134,-122.19,37.83,28,1326,184,463,190,335200
135,-122.2,37.83,26,1589,223,542,211,351200
136,-122.19,37.83,29,1791,271,661,269,368900
137,-122.19,37.82,32,1835,264,635,263,365900
138,-122.2,37.82,37,1229,181,420,176,366700
139,-122.2,37.82,39,3770,534,1265,500,362800
140,-122.18,37.81,30,292,38,126,52,483300
141,-122.21,37.82,52,2375,333,813,350,331400
142,-122.2,37.81,45,2964,436,1067,426,323500
143,-122.21,37.8,50,2833,605,1260,552,216700
144,-122.21,37.8,38,2254,535,951,487,233100
145,-122.21,37.81,52,1389,212,510,224,296400
146,-122.22,37.81,52,1971,335,765,308,273700
147,-122.22,37.8,52,2183,465,1129,460,227700
148,-122.22,37.8,52,2286,464,1073,441,199600
149,-122.22,37.8,52,2721,541,1185,515,239800
150,-122.22,37.81,52,2024,339,756,340,270100
151,-122.22,37.81,52,2944,536,1034,521,302100
152,-122.23,37.8,52,2033,486,787,459,269500
153,-122.23,37.81,52,1433,229,612,213,314700
154,-122.22,37.81,52,2927,402,1021,380,390100
155,-122.23,37.81,52,2315,292,861,258,410300
156,-122.24,37.81,52,2485,313,953,327,352400
157,-122.24,37.81,52,1490,238,634,256,287300
158,-122.23,37.81,52,2814,365,878,352,348700
159,-122.24,37.81,52,2093,550,918,483,243800
160,-122.24,37.8,52,888,168,360,175,211500
161,-122.25,37.8,52,2087,510,1197,488,218400
162,-122.24,37.81,52,2513,502,1048,518,269900
163,-122.25,37.81,46,3232,835,1373,747,218800
164,-122.25,37.8,42,4120,1065,1715,1015,225000
165,-122.25,37.8,43,2364,792,1359,722,250000
166,-122.25,37.8,41,1471,469,1062,413,171400
167,-122.25,37.8,29,2468,864,1335,773,193800
168,-122.24,37.79,27,1632,492,1171,429,125000
169,-122.25,37.79,45,1786,526,1475,460,97500
170,-122.25,37.79,50,629,188,742,196,125000
171,-122.25,37.79,52,1339,391,1086,363,138800
172,-122.25,37.8,36,1678,606,1645,543,116700
173,-122.25,37.8,43,2344,647,1710,644,151800
174,-122.24,37.8,52,996,228,731,228,127000
175,-122.24,37.8,52,1591,373,1118,347,128600
176,-122.24,37.8,52,1586,398,1006,335,140600
177,-122.24,37.8,47,2046,588,1213,554,182700
178,-122.23,37.8,52,1192,289,772,257,146900
179,-122.24,37.8,52,1803,420,1321,401,122800
180,-122.24,37.8,49,2838,749,1487,677,169300
181,-122.23,37.8,52,783,184,488,186,126600
182,-122.23,37.8,51,1590,414,949,392,127900
183,-122.23,37.8,50,1746,480,1149,415,123500
184,-122.23,37.8,52,1252,299,844,280,111900
185,-122.23,37.79,43,5963,1344,4367,1231,112800
186,-122.23,37.79,52,1783,395,1659,412,107900
187,-122.23,37.79,30,999,264,1011,263,137500
188,-122.24,37.79,39,1469,431,1464,389,105500
189,-122.24,37.79,47,1372,395,1237,303,95500
190,-122.24,37.79,52,674,180,647,168,116100
191,-122.24,37.79,43,1626,376,1284,357,112200
192,-122.25,37.79,51,175,43,228,55,75000
193,-122.25,37.79,39,461,129,381,123,112500
194,-122.25,37.79,52,902,237,846,227,125000
195,-122.26,37.8,20,2373,779,1659,676,115000
196,-122.22,37.77,52,391,128,520,138,95000
197,-122.22,37.77,52,1137,301,866,259,96400
198,-122.23,37.77,52,769,206,612,183,72000
199,-122.23,37.78,52,472,146,415,126,71300
200,-122.23,37.78,52,862,215,994,213,80800
201,-122.22,37.78,50,1920,530,1525,477,128800
202,-122.23,37.78,43,1420,472,1506,438,112500
203,-122.23,37.78,52,986,258,1008,255,119400
204,-122.23,37.78,44,2340,825,2813,751,118100
205,-122.23,37.79,48,1696,396,1481,343,122500
206,-122.23,37.79,49,1175,217,859,219,106300
207,-122.22,37.79,37,2343,574,1608,523,132500
208,-122.23,37.79,30,610,145,425,140,122700
209,-122.23,37.79,40,930,199,564,184,113300
210,-122.22,37.79,44,1487,314,961,272,109500
211,-122.22,37.79,52,3424,690,2273,685,164700
212,-122.21,37.79,52,762,190,600,195,125000
213,-122.22,37.79,46,2366,575,1647,527,124700
214,-122.22,37.79,49,1826,450,1201,424,136700
215,-122.22,37.79,38,3049,711,2167,659,141700
216,-122.2,37.79,29,1640,376,939,340,150000
217,-122.21,37.79,47,1543,307,859,292,138800
218,-122.21,37.79,34,2364,557,1517,516,139200
219,-122.21,37.79,35,1745,409,1143,386,143800
220,-122.21,37.8,39,2003,500,1109,464,156500
221,-122.21,37.8,39,2018,447,1221,446,151000
222,-122.2,37.8,43,3045,499,1115,455,273000
223,-122.2,37.8,52,1547,293,706,268,217100
224,-122.21,37.8,52,3519,711,1883,706,187100
225,-122.2,37.8,41,2070,354,804,340,239600
226,-122.21,37.8,48,1321,263,506,252,229700
227,-122.19,37.8,48,1694,259,610,238,257300
228,-122.19,37.8,46,1938,341,768,332,246900
229,-122.19,37.79,50,968,195,462,184,179900
230,-122.2,37.79,40,1060,256,667,235,169600
231,-122.2,37.8,46,2041,405,1059,399,203300
232,-122.19,37.8,52,1813,271,637,277,263400
233,-122.19,37.79,45,2718,451,1106,454,231800
234,-122.19,37.79,28,3144,761,1737,669,140500
235,-122.2,37.79,35,1802,459,1009,390,126000
236,-122.2,37.79,49,882,195,737,210,122000
237,-122.2,37.79,44,1621,452,1354,491,134700
238,-122.21,37.79,45,2115,533,1530,474,139400
239,-122.2,37.79,45,2021,528,1410,480,115400
240,-122.21,37.78,46,2239,508,1390,569,137300
241,-122.21,37.78,52,1477,300,1065,269,137000
242,-122.21,37.78,52,1056,224,792,245,142600
243,-122.21,37.78,49,898,244,779,245,137500
244,-122.22,37.78,44,2968,710,2269,610,111700
245,-122.21,37.78,43,1702,460,1227,407,126800
246,-122.21,37.78,47,881,248,753,241,111300
247,-122.22,37.77,40,494,114,547,135,114800
248,-122.22,37.78,50,1776,473,1807,440,102300
249,-122.22,37.78,44,1678,514,1700,495,131900
250,-122.22,37.78,51,1637,463,1543,393,119100
251,-122.21,37.76,52,1420,314,1085,300,80600
252,-122.21,37.77,52,591,173,353,137,80600
253,-122.21,37.77,52,745,153,473,149,88800
254,-122.2,37.77,49,2272,498,1621,483,102400
255,-122.21,37.77,46,1234,375,1183,354,98700
256,-122.21,37.77,43,1017,328,836,277,100000
257,-122.19,37.77,42,932,254,900,263,92300
258,-122.2,37.77,39,2689,597,1888,537,94800
259,-122.2,37.77,41,1547,415,1024,341,102000
260,-122.2,37.78,52,2300,443,1225,423,158400
261,-122.2,37.78,39,1752,399,1071,376,121600
262,-122.2,37.78,50,1867,403,1128,378,129100
263,-122.2,37.77,43,2430,502,1537,484,121400
264,-122.21,37.78,44,1729,414,1240,393,102800
265,-122.19,37.78,52,1026,180,469,168,160000
266,-122.19,37.77,52,2170,428,1086,425,143900
267,-122.19,37.77,52,2329,445,1144,417,151200
268,-122.19,37.78,52,2492,415,1109,375,164400
269,-122.19,37.78,52,2198,397,984,369,156500
270,-122.18,37.78,33,142,31,575,47,225000
271,-122.19,37.78,49,1183,205,496,209,174200
272,-122.19,37.78,52,1070,193,555,190,166900
273,-122.2,37.78,45,1766,332,869,327,163500
274,-122.18,37.79,39,617,95,236,106,253000
275,-122.18,37.79,41,1411,233,626,214,240700
276,-122.18,37.79,46,2109,387,922,329,208100
277,-122.19,37.79,47,1229,243,582,256,198100
278,-122.19,37.79,50,954,217,546,201,172800
279,-122.18,37.81,37,1643,262,620,266,336700
280,-122.18,37.8,34,1355,195,442,195,318200
281,-122.18,37.8,23,2317,336,955,328,285800
282,-122.13,37.77,24,2459,317,916,324,293000
283,-122.16,37.79,22,12842,2048,4985,1967,371000
284,-122.17,37.78,42,1524,260,651,267,157300
285,-122.17,37.77,30,3326,746,1704,703,135300
286,-122.18,37.78,43,1985,440,1085,407,136700
287,-122.18,37.78,50,1642,322,713,284,160700
288,-122.17,37.78,49,893,177,468,181,140600
289,-122.17,37.78,52,653,128,296,121,144000
290,-122.16,37.77,47,1256,,570,218,161900
291,-122.16,37.77,48,977,194,446,180,156300
292,-122.16,37.77,45,2324,397,968,384,176000
293,-122.16,37.77,39,1583,349,857,316,145800
294,-122.17,37.77,39,1612,342,912,322,141900
295,-122.17,37.77,31,2424,533,1360,452,90700
296,-122.17,37.76,41,1594,367,1074,355,90600
297,-122.17,37.76,47,2118,413,965,382,107900
298,-122.18,37.76,37,1575,358,933,320,107000
299,-122.17,37.76,38,1764,397,987,354,98200
300,-122.18,37.76,50,1187,261,907,246,89500
301,-122.18,37.76,52,754,175,447,165,93800
302,-122.18,37.76,49,2308,452,1299,451,96700
303,-122.18,37.77,27,909,236,396,157,97500
304,-122.18,37.77,42,1180,257,877,268,97300
305,-122.18,37.76,43,2018,408,1111,367,91200
306,-122.19,37.76,49,1368,282,790,269,91400
307,-122.18,37.77,52,2744,547,1479,554,96200
308,-122.18,37.77,51,2107,471,1173,438,120100
309,-122.18,37.77,52,1748,362,1029,366,100000
310,-122.19,37.76,52,2024,391,1030,350,94700
311,-122.2,37.76,47,1116,259,826,279,85700
312,-122.19,37.77,41,2036,510,1412,454,89300
313,-122.19,37.77,45,1852,393,1132,349,101400
314,-122.19,37.76,41,921,207,522,159,72500
315,-122.19,37.76,45,995,238,630,237,74100
316,-122.2,37.75,36,606,132,531,133,70000
317,-122.2,37.76,37,2680,736,1925,667,84600
318,-122.19,37.76,38,1493,370,1144,351,81800
319,-122.19,37.75,19,2207,565,1481,520,81400
320,-122.19,37.75,28,856,189,435,162,81800
321,-122.19,37.76,26,1293,297,984,303,85800
322,-122.19,37.74,36,847,212,567,159,87100
323,-122.18,37.74,42,541,154,380,123,83500
324,-122.19,37.73,44,1066,253,825,244,79700
325,-122.19,37.74,43,707,147,417,155,83400
326,-122.19,37.73,45,1528,291,801,287,84700
327,-122.18,37.73,42,909,215,646,198,80000
328,-122.18,37.73,43,1391,293,855,285,76400
329,-122.18,37.73,44,548,119,435,136,79700
330,-122.18,37.73,42,4074,874,2736,780,82400
331,-122.17,37.74,41,1613,445,1481,414,97700
332,-122.17,37.74,47,463,134,327,137,97200
333,-122.17,37.74,43,818,193,494,179,101600
334,-122.17,37.73,43,1473,371,1231,341,86500
335,-122.18,37.74,35,504,126,323,109,90500
336,-122.17,37.74,46,1026,226,749,225,107600
337,-122.17,37.74,46,769,183,693,178,84200
338,-122.18,37.74,46,2103,391,1339,354,88900
339,-122.18,37.75,45,330,76,282,80,80700
340,-122.18,37.75,46,941,218,621,195,87100
341,-122.17,37.75,38,992,,732,259,85100
342,-122.18,37.75,45,990,261,901,260,82000
343,-122.19,37.75,36,1126,263,482,150,82800
344,-122.18,37.75,43,1036,233,652,213,84600
345,-122.18,37.75,36,1047,214,651,166,82100
346,-122.17,37.76,33,1280,307,999,286,89300
347,-122.17,37.75,43,1587,320,907,306,98300
348,-122.17,37.75,41,1257,271,828,230,92300
349,-122.17,37.75,44,1218,248,763,254,88800
350,-122.17,37.75,48,1751,390,935,349,90000
351,-122.16,37.76,45,2299,514,1437,484,95500
352,-122.16,37.75,38,2457,624,1516,482,91700
353,-122.17,37.75,47,998,211,597,185,100400
354,-122.17,37.76,40,1685,343,949,342,94800
355,-122.16,37.76,46,1827,307,881,302,164300
356,-122.16,37.76,36,2781,574,1438,519,155500
357,-122.15,37.76,39,1823,286,763,270,196900
358,-122.14,37.77,27,2229,365,1297,355,279100
359,-122.14,37.76,34,1513,231,545,211,252800
360,-122.13,37.76,26,3266,491,1222,533,275400
361,-122.12,37.75,33,1809,261,808,219,250000
362,-122.12,37.75,28,794,111,329,109,329800
363,-122.14,37.75,36,690,105,299,109,195500
364,-122.14,37.75,33,1334,200,579,202,255900
365,-122.13,37.75,30,414,54,137,50,311100
366,-122.13,37.75,36,768,93,229,93,330000
367,-122.13,37.74,41,4400,666,1476,648,248900
368,-122.16,37.75,46,954,161,429,154,142900
369,-122.15,37.75,40,1445,256,849,255,126300
370,-122.15,37.75,44,1938,399,946,331,135800
371,-122.15,37.74,41,856,178,571,191,130600
372,-122.16,37.75,24,1790,454,1137,386,107900
373,-122.16,37.75,44,617,131,378,135,111100
374,-122.15,37.74,43,1383,275,853,272,122000
375,-122.15,37.74,49,1325,277,764,282,118000
376,-122.16,37.75,40,1227,294,928,261,95200
377,-122.16,37.75,35,667,140,406,133,94300
378,-122.17,37.74,34,1223,281,824,280,92500
379,-122.17,37.75,37,1379,287,835,259,91800
380,-122.16,37.74,43,1534,300,826,295,109400
381,-122.16,37.74,46,1029,181,567,211,129500
382,-122.16,37.74,52,771,147,355,144,143400
383,-122.16,37.74,47,824,223,533,166,98200
384,-122.16,37.74,44,1097,239,609,215,103100
385,-122.29,37.9,49,1283,238,576,236,276800
386,-122.29,37.9,52,1604,263,594,286,270900
387,-122.29,37.89,52,2248,422,870,377,246200
388,-122.3,37.9,38,2263,522,1027,509,224200
389,-122.29,37.89,52,1571,349,693,326,229100
390,-122.3,37.89,46,1520,402,815,375,211600
391,-122.3,37.9,15,5083,1212,2420,1146,256100
392,-122.3,37.89,36,1077,293,518,276,206300
393,-122.3,37.89,52,1248,283,620,275,221300
394,-122.33,37.89,42,1342,291,551,266,207400
395,-122.34,37.88,37,3061,930,2556,924,350000
396,-122.29,37.89,52,3171,698,1498,696,218200
397,-122.29,37.88,50,1211,261,523,227,216700
398,-122.29,37.89,52,979,175,374,153,270600
399,-122.29,37.89,52,2269,380,1004,371,261400
400,-122.28,37.88,52,1844,332,769,334,261300
401,-122.29,37.89,52,2178,421,940,423,232200
402,-122.27,37.9,42,1650,274,645,256,375400
403,-122.26,37.9,52,1927,279,705,288,357300
404,-122.27,37.9,52,2079,273,684,275,374400
405,-122.27,37.9,52,1803,240,572,236,358800
406,-122.27,37.9,52,2041,270,671,253,417500
407,-122.27,37.89,52,3046,373,975,365,430500
408,-122.28,37.9,52,2318,328,779,312,362900
409,-122.28,37.9,52,2003,250,658,244,397000
410,-122.28,37.9,52,2261,328,819,335,346800
411,-122.28,37.89,52,1225,169,412,168,327100
412,-122.28,37.89,52,2315,408,835,369,290100
413,-122.28,37.89,52,2070,329,722,306,292000
414,-122.28,37.89,52,2616,473,1085,487,270900
415,-122.27,37.89,52,2640,366,973,355,371100
416,-122.27,37.89,52,1978,293,723,272,335600
417,-122.26,37.9,37,2220,335,903,362,371300
418,-122.25,37.89,41,1125,195,356,181,344000
419,-122.26,37.89,52,3078,494,1005,462,342200
420,-122.26,37.89,52,3706,531,1205,504,370900
421,-122.25,37.89,37,3000,457,987,450,350000
422,-122.25,37.89,42,2863,460,1031,448,368600
423,-122.26,37.88,52,2551,417,894,404,391800
424,-122.26,37.88,52,2255,410,823,377,415300
425,-122.27,37.88,52,3360,648,1232,621,284900
426,-122.27,37.88,52,1693,391,669,367,287500
427,-122.27,37.88,44,2252,592,989,550,272900
428,-122.28,37.88,52,2495,491,1058,464,259600
429,-122.28,37.88,52,1193,200,506,207,254500
430,-122.28,37.88,52,1172,215,489,218,235600
431,-122.29,37.88,52,2159,424,824,388,218400
432,-122.29,37.88,48,2365,490,1034,475,229200
433,-122.29,37.88,46,1895,442,920,425,192100
434,-122.29,37.88,52,1650,395,841,380,179300
435,-122.3,37.88,45,453,146,749,137,187500
436,-122.3,37.88,52,409,97,208,98,138800
437,-122.3,37.87,10,503,118,228,100,150000
438,-122.3,37.86,50,499,127,287,128,140600
439,-122.29,37.85,52,477,119,218,106,120000
440,-122.3,37.88,46,1647,376,854,355,144800
441,-122.3,37.87,52,3123,749,1695,684,144800
442,-122.28,37.88,52,957,188,403,172,245500
443,-122.28,37.87,52,589,132,288,131,200000
444,-122.28,37.87,49,2026,548,963,521,173700
445,-122.29,37.87,50,1829,536,1129,516,185600
446,-122.29,37.87,52,895,198,386,204,182600
447,-122.28,37.88,52,1909,416,811,406,227900
448,-122.28,37.87,46,3022,696,1293,675,220700
449,-122.28,37.87,46,1777,446,805,431,212000
450,-122.27,37.88,52,2803,930,1372,876,271400
451,-122.27,37.87,30,1465,439,862,425,268800
452,-122.27,37.88,37,2619,682,1152,616,277800
453,-122.26,37.88,52,1149,255,483,249,332500
454,-122.26,37.88,52,2363,604,1558,573,338900
455,-122.26,37.88,52,2604,837,1798,769,287500
456,-122.25,37.87,41,685,141,266,123,384600
457,-122.25,37.87,42,1756,465,2184,422,371400
458,-122.25,37.87,52,1204,460,2016,477,350000
459,-122.25,37.87,52,609,236,1349,250,500001
460,-122.26,37.87,52,1087,371,3337,350,175000
461,-122.26,37.87,52,2773,998,1721,949,241700
462,-122.27,37.87,35,3218,1108,1675,1000,216700
463,-122.27,37.87,49,1350,368,707,350,211300
464,-122.27,37.87,52,3084,698,1424,694,210200
465,-122.28,37.86,52,938,195,393,189,196400
466,-122.28,37.87,52,1813,353,828,339,191700
467,-122.28,37.87,52,1233,300,571,292,182300
468,-122.29,37.87,44,2539,755,1382,713,175000
469,-122.29,37.87,46,1267,324,792,321,165900
470,-122.29,37.86,52,1665,404,815,372,156900
471,-122.28,37.86,52,1659,367,788,346,164300
472,-122.29,37.87,52,2225,460,1145,430,150000
473,-122.29,37.86,50,2485,607,1354,563,150500
474,-122.28,37.86,52,2031,450,958,445,169900
475,-122.28,37.86,49,2932,668,1361,608,147400
476,-122.28,37.85,52,2246,472,1005,449,152700
477,-122.27,37.86,49,2052,435,924,414,182700
478,-122.28,37.86,52,1999,417,780,358,179300
479,-122.28,37.86,52,3007,691,1582,636,157700
480,-122.28,37.86,41,2214,550,1213,568,153100
481,-122.27,37.86,52,1088,305,486,267,250000
482,-122.27,37.86,52,834,186,494,175,206300
483,-122.27,37.86,52,1769,372,849,365,218800
484,-122.27,37.86,52,2307,583,1127,548,198200
485,-122.26,37.86,35,5161,1744,3276,1742,253600
486,-122.26,37.86,52,3497,832,1493,794,257400
487,-122.26,37.86,52,3774,744,1461,679,289500
488,-122.26,37.86,52,2888,604,1253,538,241700
489,-122.25,37.86,48,2153,517,1656,459,489600
490,-122.25,37.86,52,1389,191,514,202,446200
491,-122.25,37.86,52,1709,318,719,295,456300
492,-122.25,37.86,52,1587,444,878,449,336800
493,-122.24,37.86,52,1668,225,517,214,500001
494,-122.24,37.85,52,3726,474,1366,496,500001
495,-122.25,37.86,52,4048,663,1316,590,376900
496,-122.26,37.85,52,3618,768,1508,755,309600
497,-122.27,37.85,52,4076,920,1800,815,182300
498,-122.27,37.85,47,2077,400,719,326,172700
499,-122.27,37.85,50,1279,300,675,255,150800
500,-122.27,37.85,52,1974,426,875,363,153600
501,-122.27,37.85,52,335,83,152,77,106300
502,-122.27,37.85,47,1375,307,843,319,142300
503,-122.28,37.85,52,610,145,281,132,119400
504,-122.28,37.85,44,1025,198,506,204,147900
505,-122.28,37.85,48,2063,484,1054,466,132900
506,-122.29,37.84,35,1872,419,1017,414,132500
507,-122.28,37.83,52,3108,813,1623,765,126900
508,-122.3,37.84,14,7355,2408,3100,2051,143800
509,-122.23,37.83,52,2990,379,947,361,500001
510,-122.22,37.82,39,2492,310,808,315,500001
511,-122.22,37.82,42,2991,335,1018,335,500001
512,-122.23,37.82,52,3242,366,1001,352,500001
513,-122.23,37.82,52,3051,381,1005,369,466100
514,-122.23,37.82,52,3494,396,1192,383,500001
515,-122.24,37.83,52,1757,246,585,227,457800
516,-122.24,37.83,52,2449,312,916,316,471600
517,-122.23,37.82,52,1611,203,556,179,500001
518,-122.24,37.82,52,3665,517,1470,520,398600
519,-122.25,37.82,52,2474,403,1104,398,340700
520,-122.23,37.76,52,3037,516,1242,518,289900
521,-122.23,37.76,52,2269,323,805,321,335300
522,-122.23,37.76,52,1316,177,378,162,333000
523,-122.24,37.77,52,1153,235,481,223,241000
524,-122.23,37.77,52,772,179,409,160,189600
525,-122.24,37.77,52,1711,386,885,373,206300
526,-122.25,37.77,52,2650,566,1468,567,215700
527,-122.25,37.77,52,1038,220,482,215,210200
528,-122.25,37.77,52,1527,320,825,264,208800
529,-122.25,37.77,52,859,157,429,158,197900
530,-122.26,37.78,52,970,217,528,208,201300
531,-122.26,37.78,52,1045,239,496,216,190800
532,-122.27,37.78,52,1408,280,718,265,207900
533,-122.27,37.78,52,1222,264,630,265,215300
534,-122.27,37.78,45,1169,263,723,286,212900
535,-122.27,37.78,13,2020,535,959,486,292700
536,-122.28,37.79,30,4145,869,3668,855,275000
537,-122.3,37.77,42,2038,368,2037,355,200000
538,-122.28,37.78,29,5154,,3741,1273,173400
539,-122.29,37.78,42,1241,309,821,300,102200
540,-122.28,37.77,52,1468,363,870,347,220800
541,-122.28,37.77,27,3997,1073,1901,966,242800
542,-122.29,37.76,18,2873,763,1243,663,265400
543,-122.28,37.78,50,1487,306,730,327,219000
544,-122.26,37.77,52,1670,350,793,299,282100
545,-122.27,37.77,52,2252,388,1033,434,372000
546,-122.27,37.77,52,1731,377,872,363,225800
547,-122.27,37.77,52,1710,481,849,457,220800
548,-122.27,37.77,52,2388,559,1121,518,234500
549,-122.25,37.77,52,2156,458,872,445,254200
550,-122.26,37.77,52,1565,315,637,297,351800
